word,reading,definition
食べる,たべる,to eat
飲む,のむ,to drink
行く,いく,to go
来る,くる,to come
見る,みる,to see; to watch
聞く,きく,to listen; to hear
話す,はなす,to speak; to talk
読む,よむ,to read
書く,かく,to write
買う,かう,to buy
寝る,ねる,to sleep
起きる,おきる,to wake up; to get up
歩く,あるく,to walk
走る,はしる,to run
待つ,まつ,to wait
会う,あう,to meet
作る,つくる,to make; to create
使う,つかう,to use
思う,おもう,to think
知る,しる,to know
時間,じかん,time
今日,きょう,today
明日,あした,tomorrow
昨日,きのう,yesterday
朝,あさ,morning
夜,よる,night
水,みず,water
お茶,おちゃ,tea
ご飯,ごはん,rice; meal
友達,ともだち,friend
家族,かぞく,family
学校,がっこう,school
仕事,しごと,work; job
電車,でんしゃ,train
大きい,おおきい,big; large
小さい,ちいさい,small; little
新しい,あたらしい,new
古い,ふるい,old (things)
高い,たかい,expensive; tall
安い,やすい,cheap; inexpensive
