word,reading,definition
eat,,to consume food
drink,,to consume liquid
go,,to move; to travel
come,,to arrive; to approach
see,,to perceive with eyes
watch,,to observe; to look at
listen,,to hear attentively
speak,,to talk; to communicate
read,,to interpret written words
write,,to form letters or words
buy,,to purchase
sleep,,to rest; to slumber
work,,to labor; to be employed
play,,to engage in activity for fun
wait,,to stay in place
meet,,to encounter; to come together
make,,to create; to produce
use,,to employ; to utilize
think,,to consider; to reflect
know,,to be aware of; to understand
learn,,to acquire knowledge
teach,,to instruct; to educate
help,,to assist; to aid
give,,to present; to provide
take,,to grab; to accept
put,,to place; to set
open,,to make accessible
close,,to shut; to end
start,,to begin; to commence
finish,,to complete; to end
live,,to reside; to exist
love,,to feel deep affection
like,,to enjoy; to prefer
want,,to desire; to wish for
need,,to require; to must have
time,,duration; occasion
day,,24-hour period
week,,seven days
month,,30-day period approximately
year,,365 days; 12 months
morning,,early part of day
evening,,late part of day
night,,dark hours; nighttime
today,,this current day
tomorrow,,the next day
yesterday,,the previous day
now,,at this moment
water,,liquid for drinking
food,,things to eat
bread,,baked wheat product
meat,,animal flesh for eating
fish,,aquatic animal; seafood
fruit,,sweet plant product
friend,,close companion
family,,relatives; household
father,,male parent
mother,,female parent
brother,,male sibling
sister,,female sibling
child,,young person
man,,adult male
woman,,adult female
school,,place of learning
teacher,,instructor; educator
student,,learner; pupil
job,,employment; work position
office,,workplace; business room
house,,dwelling; residence
room,,space within building
street,,road in town
city,,large urban area
country,,nation; rural area
car,,automobile; vehicle
train,,railway vehicle
bus,,large passenger vehicle
store,,shop; retail place
restaurant,,eating establishment
hospital,,medical facility
big,,large in size
small,,little in size
new,,recently made; fresh
old,,not new; aged
expensive,,costly; high-priced
good,,positive; satisfactory
bad,,negative; poor quality
long,,extended in length
short,,not long; brief
hot,,high temperature
cold,,low temperature
easy,,not difficult; simple
difficult,,hard; challenging
happy,,feeling joy
sad,,feeling sorrow
tired,,needing rest
busy,,occupied; active
book,,written publication
movie,,film; motion picture
music,,sounds arranged melodically
money,,currency; funds
problem,,difficulty; issue
