word,reading,definition
食べる,たべる,to eat
飲む,のむ,to drink
行く,いく,to go
来る,くる,to come
見る,みる,to see; to watch
聞く,きく,to listen; to hear; to ask
話す,はなす,to speak; to talk
読む,よむ,to read
書く,かく,to write
買う,かう,to buy
寝る,ねる,to sleep
起きる,おきる,to wake up; to get up
歩く,あるく,to walk
走る,はしる,to run
待つ,まつ,to wait
会う,あう,to meet
作る,つくる,to make; to create
使う,つかう,to use
思う,おもう,to think
知る,しる,to know
分かる,わかる,to understand
教える,おしえる,to teach; to tell
習う,ならう,to learn
働く,はたらく,to work
遊ぶ,あそぶ,to play
入る,はいる,to enter
出る,でる,to exit; to leave
開ける,あける,to open
閉める,しめる,to close
立つ,たつ,to stand
座る,すわる,to sit
持つ,もつ,to hold; to have
置く,おく,to put; to place
取る,とる,to take
始まる,はじまる,to begin
終わる,おわる,to end
住む,すむ,to live; to reside
洗う,あらう,to wash
着る,きる,to wear
脱ぐ,ぬぐ,to take off clothes
時間,じかん,time
今日,きょう,today
明日,あした,tomorrow
昨日,きのう,yesterday
朝,あさ,morning
夜,よる,night; evening
午前,ごぜん,morning; AM
午後,ごご,afternoon; PM
毎日,まいにち,every day
今週,こんしゅう,this week
水,みず,water
お茶,おちゃ,tea
ご飯,ごはん,rice; meal
パン,ぱん,bread
肉,にく,meat
魚,さかな,fish
野菜,やさい,vegetables
果物,くだもの,fruit
友達,ともだち,friend
家族,かぞく,family
父,ちち,father
母,はは,mother
兄,あに,older brother
姉,あね,older sister
弟,おとうと,younger brother
妹,いもうと,younger sister
学校,がっこう,school
先生,せんせい,teacher
学生,がくせい,student
仕事,しごと,work; job
会社,かいしゃ,company
電車,でんしゃ,train
車,くるま,car
駅,えき,station
道,みち,road; way
部屋,へや,room
家,いえ,house; home
店,みせ,shop; store
病院,びょういん,hospital
大きい,おおきい,big; large
小さい,ちいさい,small; little
新しい,あたらしい,new
古い,ふるい,old
高い,たかい,expensive; tall; high
安い,やすい,cheap; inexpensive
良い,いい,good
悪い,わるい,bad
長い,ながい,long
短い,みじかい,short
暑い,あつい,hot (weather)
寒い,さむい,cold (weather)
難しい,むずかしい,difficult
簡単,かんたん,easy; simple
元気,げんき,healthy; energetic
忙しい,いそがしい,busy
楽しい,たのしい,fun; enjoyable
嬉しい,うれしい,happy; glad
本,ほん,book
映画,えいが,movie; film
音楽,おんがく,music
